"filename", "language", "JSON", "HTML", "Markdown", "JavaScript", "XML", "JavaScript JSX", "YAML", "comment", "blank", "total"
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/styles/GlobalStyles.js", "JavaScript", 0, 0, 0, 150, 0, 0, 0, 44, 35, 229
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/ui/AppLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 6, 42
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/ui/Button.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 60, 0, 0, 6, 66
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/ui/ButtonGroup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/ui/ButtonIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/ui/ButtonText.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/ui/Checkbox.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 4, 44
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/ui/ConfirmDelete.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 5, 49
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/ui/DarkModeToggle.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/ui/DataItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 5, 36
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/ui/Empty.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/ui/ErrorFallback.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 47, 0, 0, 4, 51
